黄浦江,こうほこう,专,,黄浦江（江名）,
西,にし,名,,西、西方,
英語名,えいごめい,名,,英语名,
バンド,Bund,名,,滨海大道,
エキゾチック,Exotic,形动,,异国情调,
古い,ふるい,形,,旧的；老的；从前的,
向こう側,むこうがわ,名,,对面、另一侧,
浦東,ほとう,专,,浦东（地名）,
東,ひがし,名,,东、东方,
現代,げんだい,名,,现代,
文化,ぶんか,名,,文化,
風景,ふんけい,名,,风景、景色,
コントラスト,Contrast,名,,对比、对照,
なかなか,,副,,很、相当,
こんにちは,,寒暄语,,你好,
お元気ですか,おげんきですか,寒暄语,,你好吗？,
おかげさまで元気です,おかげさまでげんきです,寒暄语,,谢谢，我很好,
初めて,はじめて,副,,初次、头一次,
家,うち,名,,家,
良い,いい,形,,好的,
凄い,すごい,形,,非常的、厉害的,
人出,ひとで,名,,外出的人群,
観光客,かんこうきゃく,名,,游客,
大勢,おおぜい,名,,很多人,
銀行,ぎんこう,名,,银行,
塔,とう,名,,塔,
東方明珠,とうほうめいじゅ,专,,东方明珠,
テレビ塔,てれびとう,名,,电视塔,
シンボル,Symbol,名,,象征,
どのぐらい,,组,,多少,
メートル,Meter,名,,公尺、米,
近く,ちかく,名,,附近,
金茂,きんも,专,,金茂,
ビル,Building,名,,大楼、大厦,
ワールト・ファイナンシ,World,financial,center,专,环球金融中心
ャル・センター・ビル,building,,,,
センター,Center,名,,中心、中央,
第六課,大学の生活,,,,
生活,せいかつ,名,,生活,
毎朝,まいあさ,名,,每天早晨,
起きる,おきる,自一,,起床,
よく,,副,,经常；很好地,
運動場,うんどうじょう,名,,运动场,
バスケットボール,Basketball,名,,篮球,
ラジオ体操,ラジオたいそう,名,,广播体操,
する,,他サ,,做、干、办,
それから,,接,,然后、其次,
語,ご,接尾,,……语,
朗読,ろうどく,名 他サ,,朗读,
半,はん,接尾,,……半,
ごろ,,接尾,,（时间的）左右,
朝ご飯,あさごはん,名,,早饭,
食べる,たべる,他一,,吃,
うどん,,名,,面条、切面,
肉饅頭,にくまんじゅう,名,,肉包子,
彼,かれ,名,,他,
余り,あまり,副,,（不）怎样、（不）很,
パン,,名,,面包,
そして,,接,,而且,
自転車,じてんしゃ,名,,自行车,
毎晩,まいばん,名,,每晚,
勉強,べんきょう,名 他サ,,学习,
帰る,かえる,自五,,回家、回去,
掛かる,かかる,自五,,花费、需要,
寝る,ねる,自一,,睡、就寝,
忙しい,いそがしい,形,,忙,
しかし,,接,,可是、但是,
大変,たいへん,副,,非常,
楽しい,たのしい,形,,愉快的、高兴的,
木村,きむら,专,,木村（姓氏）,
おはよございます,,寒暄语,,早上好,
来る,くる,自カ,,来,
今,いま,名,,现在,
何時,なんじ,名,,几点,
洗面所,せんめんじょ,名,,化妆室、盥洗室,
歯,は,名,,牙齿,
磨く,みがく,他五,,刷、擦,
洗う,あらう,他五,,洗,
どんな,,连体,,如何的、怎样的,
運動,うんどう,名 自サ,,运动,
バドミントン,Badminton,名,,羽毛球,
テニス,Tennis,名,,网球,
午前,ごぜん,名,,上午,
体育,たいいく,名,,体育,
週,しゅう,名,,星期,
何時間,なんじかん,名,,几小时；几课时,
一日,いちにち,名,,一天、一日、一昼夜,
始まる,はじまる,自五,,开始,
終わる,おわる,自五,,结束,
放送,ほうそう,名 他サ,,广播,
時々,ときどき,副,,有时；时时、经常,
見る,みる,他一,,看,
新聞,しんぶん,名,,报纸,
読み,よみ,他五,,念、读、朗读,
丁,てい,专,,丁（姓氏）,
日系企業,にっけいきぎよう,名,,日企,
会社員,かいしゃいん,名,,公司职员,
毎日,まいにち,名,,每天,
出掛ける,でかける,自一,,外出、出门,
市内,しない,名,,市内,
会社,かいしゃ,名,,公司,
郊外,こうがい,名,,郊区、郊外,
歩く,あるく,自五,,走、步行,
電車,でんしゃ,名,,电器列车,
込む,こむ,自五,,拥挤,
残業,ざんぎょう,名,,加班,
又,また,副,,又、再、也,
同僚,どうりょう,名,,同僚、同事,
付合い,つきあい,名,,交往、来往,
ですから,,接,,因此、所以,
大抵,たいてい,名 副,,一般、大都,
お風呂に入る,おふろにはいる,组,,洗澡,
雑誌,ざっし,名,,杂志,
インターネット,Internet,名,,因特网、互联网,
楽しむ,たのしむ,他五,,玩乐、享受,
第七課,浦東,,,,
昨日,きのう,名,,昨天,
日曜日,にちようび,名,,星期天,
あんなに,,副,,那样的,
素晴らしい,すばらしい,形,,极好,
本当に,ほんとうに,副,,的确、实在,
珍しい,めずらしい,形,,少有的、罕见的,
呂,ろ,专,,吕（姓氏）,
一緒に,いっしょに,副,,一起、一块儿,
第一ヤオハン,だいいちやおはん,专,,第一八佰伴（店名）,
買い物,かいもの,名 自サ,,购物、买东西,
お茶,おちゃ,名,,茶、茶叶,
買う,かう,他五,,买,
文房具,ぶんぼうぐ,名,,文具、文房四宝,
食べ物,たべもの,名,,食物、吃的东西,
後,あと,名,,之后,
国際空港,こくさいくうこう,名,,国际机场,
リニア・モーター・カー,Linear motor car,名,,磁悬浮列车,
乗る,のる,自五,,乘、坐,
レストラン,Restaurant,名,,餐馆,
世紀公園,せいきこうえん,专,,世纪公园,
散歩,さんぽ,名 自サ,,散步,
登る,のぼる,自五,,登、爬,
美しい,うつくしい,形,,美丽的、悦目的,
景色,けしき,名,,景色,
眺める,なげめる,他一,,眺望、远眺,
映画館,えいがかん,名,,电影院,
面白い,おもしろい,形,,有趣的,
映画,えいが,名,,电影,
バス,Bus,名,,公共汽车,
店,みせ,名,,店铺、商店,
ああ,,叹,,啊,
品物,しなもの,名,,东西、物品；商店,
値段,ねだん,名,,价格,
一箱,ひとはこ,名,,一箱、一盒,
いくら,,名,,多少钱,
元,げん,名,,元,
角,かく,名,,角,
安い,やすい,形,,便宜,
円,えん,名,,日元,
桜海亭,おうかいてい,专,,樱海亭,
ラーメン,,名,,拉面,
炒飯,チャーハン,名,,炒饭,
飲む,のむ,他五,,喝,
料理,りょうり,名,,菜肴、烹调,
美味しい,おいしい,形,,美味的、好吃的,
一番,いちばん,副,,最,
公園,こうえん,名,,公园,
エレベーター,Elevator,名,,升降式电梯,
展望台,てんぼうだい,名,,瞭望台,
新西遊記,しんさいゆうき,专,,新西游记（电影名）,
未だ,まだ,副,,尚、还,
長い,ながい,形,,长的,
復習,ふくしゅう,名 他サ,,复习,
勉強家,べんきょうか,名,,学习用功的人,
まだまだ,,副,,尚不充分；仍然,
日帰り,ひがえり,名,,当天来回,
幸い,さいわい,副,,幸亏、幸而；正好,
友達,ともだち,名,,朋友、友人,
蘇州,そしゅう,专,,苏州（城市名）,
高速電車,こうそくでんしゃ,名,,高速电气列车,
着く,つく,自五,,到、到达,
まず,,副,,首先,
観光バス,かんこうばす,名,,观光车,
虎丘,こきゅう,专,,虎丘（园林名）,
有名,ゆうめい,形动,,有名的,
虎丘斜塔,こきゅうしゃとう,专,,虎丘斜塔（塔名）,
西園,せいえん,专,,西园（园林名）,
五百羅漢,ごひゃくらかん,名,,五百罗汉,
昼食,ちゅうしょく,名,,午饭、午餐,
後,ご,接尾,,……之后,
やがて,,副,,不久,
寒山寺,かんざんじ,专,,寒山寺（寺院名）,
記念,きねん,名 他サ,,纪念,
撮る,とる,他五,,拍摄,
名園,めいえん,名,,著名园林,
獅子林,ししりん,专,,狮子林（园林名）,
庭園,ていえん,名,,庭院,
疲れる,つかれる,自一,,疲倦、累,
第八課,北京オリンピック,,,,
北京,ぺきん,专,,北京（城市名）,
オリンピック,Olympic,名,,奥林匹克,
開催,かいさい,名 他サ,,召开、举行,
田中,たなか,专,,田中（姓氏）,
夏休み,なつやすみ,名,,暑假,
国家,こっか,名,,国家,
スタジアム,Stadium,名,,体育场,
鳥の巣,とりのす,专,,鸟巢（体育馆名）,
聖火リレー,せいかりれー,名,,传递圣火,
開会式,かいかいしき,名,,开幕式,
セレモニー,Ceremony,名,,仪式、典礼,
観戦,かんせん,名 他サ,,看比赛、观战,
チーム,Team,名,,队、组、小组,
応援,おうえん,名 他サ,,助威、声援,
マスコット,Mascot,名,,吉祥物,
マーク,Mark,名 他サ,,（作）标记、（作）记号,
エンブレム,Emblem,名,,徽章、标志,
町,まち,名,,城镇；街,
明るい,あかるい,形,,明亮的、艳丽的,
人々,ひとびと,名,,人们、人人,
親切,しんせつ,形动,,热情友好的,
やさしい,,形,,友善的、诚挚的,
誕生日,たんじょうび,名,,生日,
迎える,むかえる,他一,,迎接,
年月日,ねんがっぴ,名,,年月日,
言い方,いいかた,名,,说法、措辞,
難しい,むずかしい,形,,难的、困难的；繁琐的,
習う,ならう,他五,,学习,
先週,せんしゅう,名,,上星期、上周,
何か月,なんかげつ,名,,几个月,
…か月,…かげつ,接尾,,……个月,
春,はる,名,,春天,
何月,なんがつ,名,,几月份,
気候,きこう,名,,气候,
どう,,副,,怎么样、如何,
暖かい,あたたかい,形,,温暖的、暖和的,
夏,なつ,名,,夏天,
暑い,あつい,形,,炎热的,
秋,あき,名,,秋天,
涼しい,すずしい,形,,凉爽的、凉快的,
冬,ふゆ,名,,冬天,
寒い,さむい,形,,寒冷的,
今月,こんげつ,名,,这个月、本月,
何日,なんにち,名,,几号；几天,
今年,ことし,名,,今年,
何年,なんねん,名,,几年；哪一年,
覚える,おぼえる,他一,,记住、记得,
ところで,,接,,（转变话题）可是,
感動,かんどう,名 自サ,,感动,
気持ち,きもち,名,,心情、感觉、情绪,
緊張,きんちょう,名 自サ,,（精神）紧张,
雰囲気,ふんいき,名,,气氛,
昼,ひる,名,,白昼、白天,
多い,おおい,形,,多,
部屋代,へやだい,名,,房费、房租,
豊富,ほうふ,名 形动,,丰富的,
魚,さかな,名,,鱼,
新鮮,しんせん,形动,,新鲜的,
パーティー,Party,名,,派对、聚会,
ちょうど,,副,,正好、恰好,
失礼,しつれい,名 形动,,失礼；对不起；告辞,
,,自サ,,,
生まれる,うまれる,自一,,诞生、出生,
満,まん,连体,,满、整、足,
嬉しい,うれしい,形,,高兴的,
年中行事,ねんじゅうぎゅうじ,名,,一年中定例的活动或仪,
,,,,式,
正月,しょうがつ,名,,正月；新年,
雑煮,ぞうに,名,,年糕汤,
寺,てら,名,,寺院,
神社,じんじゃ,名,,神社,
参拝,さんぱい,名 自サ,,参拜（神社、寺院）,
節分,せつぶん,名,,节分,
ひな祭り,ひなまつり,名,,偶人节、女儿节、桃花,
,,,,节,
女の子,おんなのこ,名,,女孩子,
人形,にんぎょう,名,,偶人,
飾る,かざる,他五,,装饰,
男の子,おとこのこ,名,,男孩,
祭り,まつり,名,,祭祀、庙会；（纪念）,
,,,,仪式,
鯉幟,こいのぼり,名,,鲤鱼旗,
立てる,たてる,他一,,立起、竖起,
七夕,たなばた,名,,七夕,
中旬,ちゅうじゅん,名,,中旬,
お盆,おぼん,名,,盂兰盆,
満月,まんげつ,名,,圆月,
月見,つきみ,名,,赏月、观月,
前後,ぜんご,名,,前后,
運動会,うんどうかい,名,,运动会,
第九課,家族のデジカメ写真,,,,
家族,かぞく,名,,家族、家属,
デジカメ,Digital camera,名,,数码相机,
鈴木,すずき,专,,铃木,
…たち,,接尾,,们,
戻る,もどる,自五,,回家；返回；倒退,
訪ねる,たずねる,他一,,访问,
見せる,みせる,他一,,给……看；显示,
上野公園,うえのこうえん,名,,上野公园,
花見,はなみ,名,,赏花,
青い,あおい,形,,青、蓝；幼稚的,
セーター,Sweater,名,,毛衣,
着る,きる,他一,,穿（衣）,
ネクター,Necktie,名,,领带,
締める,しめる,他一,,系（领带）,
黄色い,きいろい,形,,黄色的,
ズボン,,名,,裤子,
穿く,はく,他五,,穿,
黒い,くろい,形,,黑色的,
眼鏡,めがね,名,,眼镜,
かける,,他一,,戴（眼镜）；打（电话）,
白い,しろい,形,,白的,
帽子,ぼうし,名,,帽子,
かぶる,,他五,,戴（帽子）,
一家,いっか,名,,一家,
いらっしゃい,,寒暄语,,欢迎光临,
暫く,しばらく,副 名,,许久；暂时、不久,
御無沙汰,ごぶさた,名 自サ,,久未问候,
国,くに,名,,故乡；国家；国土,
皆さん,みなさん,代,,各位、大家,
時,とき,名,,时刻、时候,
東京,とうきょう,专,,东京（地名）,
知る,しる,他五,,晓得、知道,
或る,ある,连体,,某,
歌,うた,名,,歌,
歌う,うたう,他五,,唱歌,
踊り,おどり,名,,舞蹈,
踊る,おどる,自五,,跳舞,
方,かた,名,,方、方面,
両親,りょうしん,名,,双亲,
兄,あに,名,,哥哥,
姉,あね,名,,姐姐,
弟,おとうと,名,,弟弟,
妹,いもうと,名,,妹妹,
大家族,だいかぞく,名,,大家庭,
少子化,しょうしか,名,,少子化,
時代,じだい,名,,时代,
家庭,かてい,名,,家庭,
方,かた,名,,人（人的敬称）,
父,ちち,名,,父亲,
貿易会社,ぼうえきかいしゃ,名,,贸易公司,
勤める,つとめる,自一,,工作、任职,
働く,はたらく,自五,,工作、干活,
スーパー,Supermarket,名,,自选市场、超级市场,
出る,でる,自一,,出去、离开；毕业,
病院,びょういん,名,,医院,
スチュワーデス,Stewardess,名,,空姐,
アメリカ,America,专,,美国（国名）,
ニューヨーク,New York,专,,纽约（地名）,
住む,Bench,自五,,居住,
結婚,けっこん,名 自サ,,结婚,
外・他,ほか,名,,别处；其他,
じゃ,,接,,那么,
だんだん,,副,,渐渐地,
核家族,かくかぞく,名,,小家庭,
成る,なる,自五,,成为,
万博,ばんぽく,名,,万国博览会、世博会,
盧浦大橋,ろほたいきょう,专,,卢浦大桥,
市民,しみん,名,,市民,
憩い,いこい,名,,休息、歇息,
場,ば,名,,场所、地方,
活気にあふれる,かっきにあふれる,组,,充满活力,
空,そら,名,,天、天空,
晴れる,はれる,自一,,晴天,
日,ひ,名,,太阳,
差す,さす,自五,,照射,
木の葉,このは,名,,树叶,
きらきら,,副,,闪耀,
光る,ひかる,自五,,发光、发亮,
咲く,さく,自五,,开花,
小鳥,ことり,名,,小鸟,
鳴く,なく,自五,,（鸟等）叫,
飛ぶ,とぶ,自五,,飞,
川,かわ,名,,河、河川,
流れる,ながれる,自一,,流、流逝,
鯉,こい,名,,鲤鱼,
泳ぐ,およぐ,自五,,游泳,
子供,こども,名,,孩子,
遊ぶ,あそぶ,自五,,玩、游戏,
ぶらんこ,,名,,秋千,
親,おや,名,,父母、双亲,
側・傍,そば,名,,附近、旁边,
老人,ろうじん,名,,老人,
ベンチ,,名,,长椅,
休む,やすむ,自五,,休息；缺勤,
男,おとこ,名,,男子,
ボール,Ball,名,,球,
投げる,なげる,他一,,投、抛、扔、掷,
女,おんな,名,,女子,
第十課,連休,,,,
連休,れんきゅう,名,,连休、长假,
楊,よ,专,,杨（姓氏）,
利用,りよう,名 他サ,,利用,
チンタオ,,专,,青岛（城市名）,
飛行機,ひこうき,名,,飞机,
航空券,こうくうけん,名,,机票,
夕食,ゆうしょく,名,,晚餐,
海岸,かいがん,名,,海岸、海边,
入れる,いれる,他一,,连……在内；放入,
末っ子,すえっこ,名,,小女儿、小儿子,
海洋,かいよう,名,,海洋,
研究所,けんきゅうじょ,名,,研究所,
定年退職,ていねんたいしょく,名,,退休,
中学校,ちゅうがっこう,名,,中学,
宮本,みやもと,专,,宫本,
ビール,,名,,啤酒,
プレゼント,Present Sports,名 他サ,,赠送礼物；礼物,
ごめください,,寒暄语,,主人在家吗？我可以进,
,,,,来吗？,
どうぞ,,副,,请,
お入りください,おはいりください,寒暄语,,请进,
おかけください,,寒暄语,,请坐,
お茶をどうぞ,おちゃをどうぞ,寒暄语,,请用茶,
おかまいなく,,寒暄语,,请别张罗,
どちら,,代,,哪一方；哪一位；哪里,
勿論,もちろん,副,,当然、不言而喻,
海,うみ,名,,大海,
おかげさまで,,寒暄语,,托您的福,
母,はは,名,,母亲,
紡績工場,ぼうせきこうじょう,名,,纱厂,
卒業,そつぎょう,名 自サ,,毕业,
教師,きょうし,名,,教师,
間,あいだ,名,,之间；期间,
揚子江,ようすこう,专,,长江（河流名）,
地域,ちいき,名,,地域、地区,
見学,けんがく,名 自サ,,参观学习,
発展,はってん,名 自サ,,发展,
ずいぶん,,副,,非常、颇,
速い,はやい,形,,快速的,
驚く,おどろく,自五,,吃惊、惊讶,
お邪魔しました,おじゃましました,寒暄语,,打扰了,
そろそろ,,副,,就要；慢慢地；渐渐,
やあ,,叹,,啊、呀,
気をつけて,きをつけて,寒暄语,,请注意,
伊藤明,いとうめい,专,,伊藤明（人名）,
手紙,てがみ,名,,信,
秋冷,しゅうれい,名,,秋寒,
研修旅行,けんしゅうりょこう,名,,进修旅游,
経つ,たつ,自五,,（时间）流逝,
ずっと,,副,,一直,
雨,あめ,名,,雨,
降る,ふる,自五,,下（雨、雪）,
講義,こうぎ,名 他サ,,讲义、课程,
大変,たいへん,形动,,够呛,
地元,じもと,名,,当地、本地,
寂しい,さびしい,形,,寂寞的,
騒がしい,さわがしい,形,,吵闹的、喧闹的,
土産話,みやげばなし,名,,旅途见闻,
御馳走,ごちそう,名 他サ,,款待、宴请；好吃的食,
,,,,物,
作る,つくる,他五,,作、制,
待つ,まつ,他五,,等待,
健康,けんこう,名 形动,,健康,
活躍,かつやく,名 自サ,,活跃、显身手,
祈る,いのる,他五,,祈祷、祈求、祝愿,
第十一課,趣味,,,,
趣味,しゅみ,名,,兴趣,
青木,あおき,专,,青木（姓氏）,
スポーツ,Sports,名,,运动,
好き,すき,形动,,喜欢,
野球,やきゅう,名,,棒球,
自分,じぶん,名 代,,自己、自身,
やる,,他五,,做、干,
中華料理,ちゅうかりょうり,名,,中国菜、中餐,
大好き,だいすき,形动,,非常喜欢,
北京料理,べきんりょうり,专,,北京菜,
上海料理,しゃんはいりょうり,专,,上海菜,
酢豚,すぶた,名,,古老肉,
四川料理,しせんりょうり,专,,四川菜,
初め,はじめ,名 副,,最初,
辛い,からい,形,,辣的,
嫌い,きらい,形动,,讨厌,
音楽,おんがく,名,,音乐,
ジャズ,Jazz,名,,爵士乐,
ロック,,名,,摇滚乐,
クラシック,Classic,名,,古典的；古典作品；名,
,,,,著,
日本料理,にほんりょうり,专,,日本菜,
皆,みな,名 副,,全，都；全体,
出来る,できる,自一,,能，会；出产；做完,
人気がある,にんきがある,组,,受欢迎,
クラスメート,Classmate,名,,同班同学,
ピンポン,Ping-pong,名,,乒乓球,
